Genes	Process	name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
3575;	GO:0000018	regulation of DNA recombination	1	6	16.6666666666667	0.0334449061858489	0.083637831385063	1	1	0.924075379135838	0.93906855206282	0.603457731100991
225;	GO:0000038	very long-chain fatty acid metabolic process	1	12	8.33333333333333	0.0612289019715984	0.106418342151092	1	1	0.939068552062821	0.93906855206282	0.767822051798154
4773; 10499; 128611; 167465;	GO:0000122	negative regulation of transcription by RNA polymerase II	4	774	0.516795865633075	0.523996031708603	0.538826108077714	1	1	0.939068552062821	0.93906855206282	1
3082; 1234;	GO:0000165	MAPK cascade	2	269	0.743494423791822	0.378962260791807	0.401594729144651	1	1	0.939068552062821	0.93906855206282	1
3082; 5027;	GO:0000187	activation of MAPK activity	2	117	1.70940170940171	0.1135855037383	0.159639237062579	1	1	0.939068552062821	0.93906855206282	1
54900;	GO:0000188	inactivation of MAPK activity	1	25	4	0.118744029737539	0.164133504872722	1	1	0.939068552062821	0.93906855206282	1
55016;	GO:0000209	protein polyubiquitination	1	239	0.418410041841004	0.690547390424805	0.697864448866392	1	1	0.939068552062821	0.93906855206282	1
3082;	GO:0000278	mitotic cell cycle	1	122	0.819672131147541	0.450868964502996	0.468044925055492	1	1	0.939068552062821	0.93906855206282	1
3082; 3575; 5027; 399; 3071;	GO:0000902	cell morphogenesis	5	91	5.49450549450549	0.000104288565828559	0.00418800924879948	0.0776949815422762	0.0795721757271902	0.0750877673965622	0.0776949815422762	0.0302170264013069
1462; 2200; 9770;	GO:0001501	skeletal system development	3	134	2.23880597014925	0.0290429800663503	0.0805506925955201	1	1	0.883572075180209	0.93906855206282	0.58118362692253
9770;	GO:0001503	ossification	1	74	1.35135135135135	0.305852787818102	0.335777952669369	1	1	0.939068552062821	0.93906855206282	1
4036;	GO:0001523	retinoid metabolic process	1	61	1.63934426229508	0.260437620357342	0.295705214780732	1	1	0.939068552062821	0.93906855206282	1
2335; 5294;	GO:0001525	angiogenesis	2	226	0.884955752212389	0.303144358781294	0.334731035817839	1	1	0.939068552062821	0.93906855206282	1
1462;	GO:0001649	osteoblast differentiation	1	101	0.99009900990099	0.39153981848192	0.411494327137335	1	1	0.939068552062821	0.93906855206282	1
2200; 8516;	GO:0001656	metanephros development	2	28	7.14285714285714	0.00926235031401856	0.0567606808141324	1	1	0.703938623865411	0.93906855206282	0.409535626314208
9201; 1233;	GO:0001764	neuron migration	2	103	1.94174757281553	0.0921732018205316	0.136993285870891	1	1	0.939068552062821	0.93906855206282	0.988424210655484
1794;	GO:0001766	membrane raft polarization	1	8	12.5	0.0427955184494293	0.091828128634049	1	1	0.939068552062821	0.93906855206282	0.662551781162629
1794;	GO:0001768	establishment of T cell polarity	1	6	16.6666666666667	0.0334449061858489	0.083637831385063	1	1	0.924075379135838	0.93906855206282	0.603457731100991
1794;	GO:0001771	immunological synapse formation	1	11	9.09090909090909	0.0566537711269077	0.103166652433963	1	1	0.939068552062821	0.93906855206282	0.744360691472956
51311; 51284; 10333;	GO:0001774	microglial cell activation	3	15	20	8.55205215366528e-05	0.00383836223132153	0.0640548706309529	0.0652521579324661	0.061831337071	0.0638838295878796	0.0276942781143259
10333;	GO:0001775	cell activation	1	13	7.69230769230769	0.065782064732448	0.109588898233314	1	1	0.939068552062821	0.93906855206282	0.790698022492531
2322;	GO:0001776	leukocyte homeostasis	1	2	50	0.014471553911037	0.0679163198146127	1	1	0.755311612654049	0.93906855206282	0.490024999229894
3071; 202309; 55619; 10673;	GO:0001782	B cell homeostasis	4	21	19.047619047619	6.07838274879757e-06	0.000463881858582005	0.00458917897534217	0.00463780603733255	0.00458310059259337	0.00458410119752073	0.00334696738596693
5294; 3702; 4773; 10666;	GO:0001816	cytokine production	4	26	15.3846153846154	1.29255519546456e-05	0.000896563285581328	0.00973294062184815	0.00986219614139461	0.00969416396598421	0.00973294062184815	0.00646881963754482
8516;	GO:0001822	kidney development	1	84	1.19047619047619	0.338898725038102	0.366260236832963	1	1	0.939068552062821	0.93906855206282	1
3082;	GO:0001837	epithelial to mesenchymal transition	1	38	2.63157894736842	0.172768500433013	0.213997347127255	1	1	0.939068552062821	0.93906855206282	1
4036;	GO:0001843	neural tube closure	1	74	1.35135135135135	0.305852787818102	0.335777952669369	1	1	0.939068552062821	0.93906855206282	1
5027;	GO:0001845	phagolysosome assembly	1	4	25	0.0240038731582409	0.0732598208789513	1	1	0.840135560538433	0.93906855206282	0.52857904797819
3702;	GO:0001865	NK T cell differentiation	1	2	50	0.014471553911037	0.0679163198146127	1	1	0.755311612654049	0.93906855206282	0.490024999229894
3082;	GO:0001889	liver development	1	73	1.36986301369863	0.302459586409567	0.334458933957246	1	1	0.939068552062821	0.93906855206282	1
3512;	GO:0001895	retina homeostasis	1	40	2.5	0.180783679781611	0.221765189185482	1	1	0.939068552062821	0.93906855206282	1
5788; 3575; 10859;	GO:0001915	negative regulation of T cell mediated cytotoxicity	3	5	60	6.07970981103545e-06	0.000463881858582005	0.00458917897534217	0.00463881858582005	0.00458410119752073	0.00458410119752073	0.00334696738596693
