Genes	Process	name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
4751;	GO:0000070	mitotic sister chromatid segregation	1	30	3.33333333333333	0.139924021913819	0.220442960355275	1	1	0.998503926676964	0.998503926676964	1
63967;	GO:0000077	DNA damage checkpoint	1	30	3.33333333333333	0.139924021913819	0.220442960355275	1	1	0.998503926676964	0.998503926676964	1
2810;	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	1	35	2.85714285714286	0.160599945882917	0.238960305951393	1	1	0.998503926676964	0.998503926676964	1
55388;	GO:0000082	G1/S transition of mitotic cell cycle	1	104	0.961538461538462	0.400388721621496	0.447621510923487	1	1	0.998503926676964	0.998503926676964	1
4751;	GO:0000086	G2/M transition of mitotic cell cycle	1	130	0.769230769230769	0.471931602025051	0.514530737783065	1	1	0.998503926676964	0.998503926676964	1
79733; 4602; 4321; 3169; 195814;	GO:0000122	negative regulation of transcription by RNA polymerase II	5	774	0.645994832041344	0.326472852011439	0.386002450746731	1	1	0.998503926676964	0.998503926676964	1
284340;	GO:0000187	activation of MAPK activity	1	117	0.854700854700855	0.437284666796186	0.484473659615918	1	1	0.998503926676964	0.998503926676964	1
11065;	GO:0000209	protein polyubiquitination	1	239	0.418410041841004	0.690547390424805	0.707782350252379	1	1	0.998503926676964	0.998503926676964	1
4602; 4751; 22974; 4605;	GO:0000278	mitotic cell cycle	4	122	3.27868852459016	0.00331046810635172	0.078432628981256	1	1	0.611576563091889	0.998503926676964	0.549128333656602
55165;	GO:0000281	mitotic cytokinesis	1	58	1.72413793103448	0.249546393809154	0.325679191920421	1	1	0.998503926676964	0.998503926676964	1
165545;	GO:0000398	mRNA splicing, via spliceosome	1	240	0.416666666666667	0.692064984508374	0.708159519031824	1	1	0.998503926676964	0.998503926676964	1
26585;	GO:0000902	cell morphogenesis	1	91	1.0989010989011	0.361099347045361	0.414221969795051	1	1	0.998503926676964	0.998503926676964	1
55165;	GO:0000920	cell separation after cytokinesis	1	17	5.88235294117647	0.083777116024585	0.165406100869053	1	1	0.998503926676964	0.998503926676964	1
1277; 5307; 1300;	GO:0001501	skeletal system development	3	134	2.23880597014925	0.0290429800663503	0.114682536672255	1	1	0.964361802195968	0.998503926676964	0.802923873397098
1301;	GO:0001502	cartilage condensation	1	20	5	0.0970478075547262	0.179523872233367	1	1	0.998503926676964	0.998503926676964	1
1301;	GO:0001503	ossification	1	74	1.35135135135135	0.305852787818102	0.372342524300298	1	1	0.998503926676964	0.998503926676964	1
284340;	GO:0001525	angiogenesis	1	226	0.442477876106195	0.670131716234554	0.691459191290595	1	1	0.998503926676964	0.998503926676964	1
9928;	GO:0001558	regulation of cell growth	1	79	1.26582278481013	0.32257521705971	0.383602960827763	1	1	0.998503926676964	0.998503926676964	1
1277;	GO:0001568	blood vessel development	1	41	2.4390243902439	0.184762389447543	0.263457481249274	1	1	0.998503926676964	0.998503926676964	1
1469;	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste	1	41	2.4390243902439	0.184762389447543	0.263457481249274	1	1	0.998503926676964	0.998503926676964	1
1277;	GO:0001649	osteoblast differentiation	1	101	0.99009900990099	0.39153981848192	0.440929667614009	1	1	0.998503926676964	0.998503926676964	1
26585;	GO:0001658	branching involved in ureteric bud morphogenesis	1	43	2.32558139534884	0.192662506247941	0.271579185008539	1	1	0.998503926676964	0.998503926676964	1
4602;	GO:0001666	response to hypoxia	1	157	0.636942675159236	0.537284585185346	0.568672344457342	1	1	0.998503926676964	0.998503926676964	1
57082;	GO:0001675	acrosome assembly	1	14	7.14285714285714	0.0703133638315967	0.150916488223915	1	1	0.998503926676964	0.998503926676964	1
