Genes	Process	name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
383;	GO:0000050	urea cycle	1	12	8.33333333333333	0.0612289019715984	0.126193804741464	1	1	0.973827274141273	0.973827274141273	0.88186914767587
3458;	GO:0000060	protein import into nucleus, translocation	1	28	3.57142857142857	0.131513187863543	0.19502443468545	1	1	0.973827274141273	0.973827274141273	1
9700; 146909;	GO:0000070	mitotic sister chromatid segregation	2	30	6.66666666666667	0.0104951125901793	0.0814694886843567	1	1	0.871094344984884	0.973827274141273	0.569326114660336
83990; 63967;	GO:0000077	DNA damage checkpoint	2	30	6.66666666666667	0.0104951125901793	0.0814694886843567	1	1	0.871094344984884	0.973827274141273	0.569326114660336
9088;	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	1	35	2.85714285714286	0.160599945882917	0.22550754525823	1	1	0.973827274141273	0.973827274141273	1
4998;	GO:0000082	G1/S transition of mitotic cell cycle	1	104	0.961538461538462	0.400388721621496	0.442611532265217	1	1	0.973827274141273	0.973827274141273	1
4998;	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	1	23	4.34782608695652	0.110128179209321	0.175282547013788	1	1	0.973827274141273	0.973827274141273	1
9133; 9088;	GO:0000086	G2/M transition of mitotic cell cycle	2	130	1.53846153846154	0.134483016001943	0.197979839537969	1	1	0.973827274141273	0.973827274141273	1
4143;	GO:0000096	sulfur amino acid metabolic process	1	7	14.2857142857143	0.0381314611403215	0.104432109789709	1	1	0.973827274141273	0.973827274141273	0.729793794861182
8320; 3458; 4100; 4101; 8092; 9212;	GO:0000122	negative regulation of transcription by RNA polymerase II	6	774	0.775193798449612	0.177655871652215	0.237917995516623	1	1	0.973827274141273	0.973827274141273	1
1852;	GO:0000165	MAPK cascade	1	269	0.371747211895911	0.733009239500559	0.754094107641861	1	1	0.973827274141273	0.973827274141273	1
5148; 1852;	GO:0000187	activation of MAPK activity	2	117	1.70940170940171	0.1135855037383	0.178419124593622	1	1	0.973827274141273	0.973827274141273	1
1852;	GO:0000188	inactivation of MAPK activity	1	25	4	0.118744029737539	0.182775620456769	1	1	0.973827274141273	0.973827274141273	1
9700;	GO:0000212	meiotic spindle organization	1	6	16.6666666666667	0.0334449061858489	0.101166681397991	1	1	0.973827274141273	0.973827274141273	0.706974286736349
146909; 220134; 9088;	GO:0000278	mitotic cell cycle	3	122	2.45901639344262	0.0229402930177298	0.0900886103716697	1	1	0.970484017588667	0.973827274141273	0.629558370211054
9700;	GO:0000281	mitotic cytokinesis	1	58	1.72413793103448	0.249546393809154	0.307757013054697	1	1	0.973827274141273	0.973827274141273	1
